company_name,category,country_code,year_founded,funding_range,profile_url
A.CURE (에이닷큐어),AI in Healthcare,KR,2024,<$1M,https://www.ai-market-watch.com/company/a-cure
A10 Networks,AI in Cybersecurity,US,2004,$100M-$500M,https://www.ai-market-watch.com/company/a10-networks
a2z Radiology AI,AI in Healthcare,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/a2z-radiology-ai
A47,AI Agents,AE,2024,$1M-$10M,https://www.ai-market-watch.com/company/a47
AAI Technologies,Foundation Models / LLMs,IL,2023,$100M-$500M,https://www.ai-market-watch.com/company/aai-technologies
Aalo Atomics,AI in Climate / Energy,US,2023,$100M-$500M,https://www.ai-market-watch.com/company/aalo-atomics
Aampe,AI Agents,US,2020,$10M-$50M,https://www.ai-market-watch.com/company/aampe
Aaru,AI in Marketing,US,2024,Undisclosed,https://www.ai-market-watch.com/company/aaru
AB180,AI in Marketing,KR,2015,$10M-$50M,https://www.ai-market-watch.com/company/ab180
ABC Fitness Solutions,,US,1981,$500M-$1B,https://www.ai-market-watch.com/company/abc-fitness-solutions
abCoffee,,IN,2022,$10M-$50M,https://www.ai-market-watch.com/company/abcoffee
Aboon,AI in Fintech,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/aboon
Above Security,AI in Cybersecurity,IL,2025,$50M-$100M,https://www.ai-market-watch.com/company/above-security
Abridge,AI in Healthcare,US,2018,$500M-$1B,https://www.ai-market-watch.com/company/abridge
Abstract,AI Agents,US,2020,$1M-$10M,https://www.ai-market-watch.com/company/abstract
Accelirate,AI Agents,US,2016,Undisclosed,https://www.ai-market-watch.com/company/accelirate
Accelsius,AI Infrastructure,US,2022,$50M-$100M,https://www.ai-market-watch.com/company/accelsius
Accenture,,IE,1989,Undisclosed,https://www.ai-market-watch.com/company/accenture
Accern,AI in Fintech,US,2014,$10M-$50M,https://www.ai-market-watch.com/company/accern
Accordance,AI in Legal,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/accordance
Accrual,AI in Fintech,US,2024,$50M-$100M,https://www.ai-market-watch.com/company/accrual
Accusonus,Voice / Speech AI,US,2013,$10M-$50M,https://www.ai-market-watch.com/company/accusonus
Ace AI,AI Infrastructure,US,2024,Undisclosed,https://www.ai-market-watch.com/company/ace-ai
Acotec Scientific Holdings Limited,AI in Healthcare,CN,2011,$500M-$1B,https://www.ai-market-watch.com/company/acotec-scientific-holdings-limited
AcroMeta Group Limited,AI in Supply Chain / Logistics,SG,1996,$1M-$10M,https://www.ai-market-watch.com/company/acrometa-group-limited
Across AI,AI Agents,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/across-ai
Acryl,AI Infrastructure,KR,2011,$10M-$50M,https://www.ai-market-watch.com/company/acryl
Acta.ai,Natural Language Processing,IN,2023,Undisclosed,https://www.ai-market-watch.com/company/acta-ai
Acti,AI Agents,SG,2026,$1M-$10M,https://www.ai-market-watch.com/company/acti
Actively AI,AI Agents,US,2022,$50M-$100M,https://www.ai-market-watch.com/company/actively-ai
Actly,AI Agents,KW,2024,Undisclosed,https://www.ai-market-watch.com/company/actly
Actual AI,AI Developer Tools,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/actual-ai
AcuityMD,AI in Healthcare,US,2019,$100M-$500M,https://www.ai-market-watch.com/company/acuitymd
Acurast,AI Infrastructure,CH,2022,$10M-$50M,https://www.ai-market-watch.com/company/acurast
Adage Automation,AI in Manufacturing,IN,2001,$10M-$50M,https://www.ai-market-watch.com/company/adage-automation
Adaps Photonics,Computer Vision,CN,2018,$100M-$500M,https://www.ai-market-watch.com/company/adaps-photonics
Adapt,AI Agents,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/adapt
Adaption Labs,Foundation Models / LLMs,US,2025,$50M-$100M,https://www.ai-market-watch.com/company/adaption-labs
Adaptive ML,AI Infrastructure,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/adaptive-ml
Adaptive Security,AI in Cybersecurity,US,2024,$100M-$500M,https://www.ai-market-watch.com/company/adaptive-security
Adaptive6,AI Infrastructure,IL,2021,$10M-$50M,https://www.ai-market-watch.com/company/adaptive6
Adauris,AI in Marketing,CA,2020,Undisclosed,https://www.ai-market-watch.com/company/adauris
Adclear,AI Infrastructure,GB,2024,$1M-$10M,https://www.ai-market-watch.com/company/adclear
Adcreative.ai,AI in Marketing,FR,2021,$10M-$50M,https://www.ai-market-watch.com/company/adcreative-ai
Addvocate.AI,AI in Marketing,FR,2024,Undisclosed,https://www.ai-market-watch.com/company/addvocate-ai
Adept,AI Agents,US,2022,$100M-$500M,https://www.ai-market-watch.com/company/adept
Adfin,AI in Fintech,GB,2024,$10M-$50M,https://www.ai-market-watch.com/company/adfin
Adopt AI,AI Agents,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/adopt-ai
Adrenaline Interactive,AI in Marketing,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/adrenaline-interactive
AdsGency AI,AI Agents,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/adsgency-ai
ADVANCE.AI,AI in Fintech,SG,2016,$500M-$1B,https://www.ai-market-watch.com/company/advance-ai
Advanced Machine Intelligence,Foundation Models / LLMs,FR,2025,$1B+,https://www.ai-market-watch.com/company/advanced-machine-intelligence
Advanced Machine Intelligence (AMI),Foundation Models / LLMs,FR,2025,$500M-$1B,https://www.ai-market-watch.com/company/advanced-machine-intelligence-ami
Advanced Machine Intelligence Labs,AI Infrastructure,FR,2025,$1B+,https://www.ai-market-watch.com/company/advanced-machine-intelligence-labs
Advanced Machine Intelligence Labs (AMI Labs),Foundation Models / LLMs,FR,2025,$1B+,https://www.ai-market-watch.com/company/advanced-machine-intelligence-labs-ami-labs
Advanced Time Segmentation,AI in Fintech,US,2022,Undisclosed,https://www.ai-market-watch.com/company/advanced-time-segmentation
Adviser Labs,AI Infrastructure,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/adviser-labs
AdvocateIQ,AI in Education,US,2024,Undisclosed,https://www.ai-market-watch.com/company/advocateiq
Advolve.ai,AI in Marketing,BR,2023,$1M-$10M,https://www.ai-market-watch.com/company/advolve-ai
aedifion,AI in Climate / Energy,DE,2017,$10M-$50M,https://www.ai-market-watch.com/company/aedifion
Aeon,AI Safety,US,2025,$1M-$10M,https://www.ai-market-watch.com/company/aeon
Aerchain,AI in Supply Chain / Logistics,IN,2019,$10M-$50M,https://www.ai-market-watch.com/company/aerchain
Aerix Systems,Robotics / Embodied AI,FR,2020,$1M-$10M,https://www.ai-market-watch.com/company/aerix-systems
Aerones,Robotics / Embodied AI,LV,2015,$100M-$500M,https://www.ai-market-watch.com/company/aerones
Aetech,AI in Climate / Energy,KR,2020,$1M-$10M,https://www.ai-market-watch.com/company/aetech
AETHEON,AI in HR & Talent,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/aetheon
Aether AI,Robotics / Embodied AI,US,2025,$10M-$50M,https://www.ai-market-watch.com/company/aether-ai
Aetherflux,AI Infrastructure,US,2024,$50M-$100M,https://www.ai-market-watch.com/company/aetherflux
Aethir,AI Infrastructure,SG,2022,$100M-$500M,https://www.ai-market-watch.com/company/aethir
Affinda,Natural Language Processing,AU,2013,$10M-$50M,https://www.ai-market-watch.com/company/affinda
Affineon Health,AI in Healthcare,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/affineon-health
Affluense AI,AI in Analytics & BI,IN,2023,<$1M,https://www.ai-market-watch.com/company/affluense-ai
Afinit,AI in Fintech,KR,2014,$100M-$500M,https://www.ai-market-watch.com/company/afinit
Afiniti,AI in Marketing,US,2006,$100M-$500M,https://www.ai-market-watch.com/company/afiniti
Afori,AI in Fintech,ES,2025,$1M-$10M,https://www.ai-market-watch.com/company/afori
AfricAI,AI Infrastructure,NG,2024,Undisclosed,https://www.ai-market-watch.com/company/africai
AfterQuery,AI Infrastructure,US,2025,$10M-$50M,https://www.ai-market-watch.com/company/afterquery
Agaton,AI Agents,SE,2024,$10M-$50M,https://www.ai-market-watch.com/company/agaton
Ageiro,AI Agents,GB,2025,$1M-$10M,https://www.ai-market-watch.com/company/ageiro
Agency,AI Agents,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/agency
Agenda Hero,AI Agents,US,2020,$1M-$10M,https://www.ai-market-watch.com/company/agenda-hero
Agent SPE Ltd.,AI Agents,DE,2023,$1M-$10M,https://www.ai-market-watch.com/company/agent-spe-ltd
Agent Universe,AI Agents,CN,2024,Undisclosed,https://www.ai-market-watch.com/company/agent-universe
AgentFi,AI Agents,HK,2024,Undisclosed,https://www.ai-market-watch.com/company/agentfi
AgentField,AI Infrastructure,CA,2025,Undisclosed,https://www.ai-market-watch.com/company/agentfield
Agentic,AI Agents,NZ,2023,Undisclosed,https://www.ai-market-watch.com/company/agentic
Agentic Marketing Technologies,AI in Marketing,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/agentic-marketing-technologies
Agentio,AI in Marketing,US,2023,$50M-$100M,https://www.ai-market-watch.com/company/agentio
AgentLISA,AI in Cybersecurity,SG,2023,$10M-$50M,https://www.ai-market-watch.com/company/agentlisa
AgentMail,AI Infrastructure,US,2025,$1M-$10M,https://www.ai-market-watch.com/company/agentmail
Agents.Land,AI Agents,VN,2024,Undisclosed,https://www.ai-market-watch.com/company/agents-land
Agentsy,AI Agents,AU,2024,<$1M,https://www.ai-market-watch.com/company/agentsy
Agentuity,AI Agents,US,2025,$1M-$10M,https://www.ai-market-watch.com/company/agentuity
Agenz,AI in Analytics & BI,MA,2021,$1M-$10M,https://www.ai-market-watch.com/company/agenz
Agereh Technologies,AI in Fintech,CA,2018,$1M-$10M,https://www.ai-market-watch.com/company/agereh-technologies
AGI Alpha,AI Agents,CA,2024,Undisclosed,https://www.ai-market-watch.com/company/agi-alpha
"AGI, Inc.",AI Agents,US,2025,Undisclosed,https://www.ai-market-watch.com/company/agi-inc
AgiBot,Robotics / Embodied AI,CN,2023,$50M-$100M,https://www.ai-market-watch.com/company/agibot
AgileRL,AI Infrastructure,GB,2022,$1M-$10M,https://www.ai-market-watch.com/company/agilerl
AgileSoDA,AI Infrastructure,KR,2015,$10M-$50M,https://www.ai-market-watch.com/company/agilesoda
Aging Target,AI in Biotech / Drug Discovery,KR,2021,$1M-$10M,https://www.ai-market-watch.com/company/aging-target
Agnikul,AI Infrastructure,IN,2017,$50M-$100M,https://www.ai-market-watch.com/company/agnikul
Agnikul Cosmos,,IN,2017,$50M-$100M,https://www.ai-market-watch.com/company/agnikul-cosmos
Agovor,Robotics / Embodied AI,NZ,2022,$1M-$10M,https://www.ai-market-watch.com/company/agovor
Agrani Labs,AI Chips / Semiconductors,IN,2024,$1M-$10M,https://www.ai-market-watch.com/company/agrani-labs
Agreenculture,AI in Agriculture,FR,2016,$1M-$10M,https://www.ai-market-watch.com/company/agreenculture
AgroStar,AI in Agriculture,IN,2013,$100M-$500M,https://www.ai-market-watch.com/company/agrostar
Ahead Health,AI in Healthcare,CH,2024,$1M-$10M,https://www.ai-market-watch.com/company/ahead-health
AheadForm,Robotics / Embodied AI,CN,2024,$50M-$100M,https://www.ai-market-watch.com/company/aheadform
AI CROSS Inc.,AI in Marketing,JP,2015,$1M-$10M,https://www.ai-market-watch.com/company/ai-cross-inc
AI Data Partners,AI Infrastructure,JP,2026,<$1M,https://www.ai-market-watch.com/company/ai-data-partners
AI Fleet Inc.,AI in Supply Chain / Logistics,US,2020,$50M-$100M,https://www.ai-market-watch.com/company/ai-fleet-inc
AI Planet,AI Agents,BE,2020,$1M-$10M,https://www.ai-market-watch.com/company/ai-planet
AI Proteins,AI in Healthcare,US,2021,$50M-$100M,https://www.ai-market-watch.com/company/ai-proteins
AI Spera,AI in Cybersecurity,KR,2017,$10M-$50M,https://www.ai-market-watch.com/company/ai-spera
AI-Blox,AI Infrastructure,BE,2021,Undisclosed,https://www.ai-market-watch.com/company/ai-blox
AI-BOB,Computer Vision,SE,2024,$1M-$10M,https://www.ai-market-watch.com/company/ai-bob
AI-Stroke,AI in Healthcare,FR,2022,$1M-$10M,https://www.ai-market-watch.com/company/ai-stroke
AI/ML Innovations Inc.,AI in Healthcare,CA,2019,$1M-$10M,https://www.ai-market-watch.com/company/ai-ml-innovations-inc
AI2 Incubator,,US,2014,$100M-$500M,https://www.ai-market-watch.com/company/ai2-incubator
AI21 Labs,Foundation Models / LLMs,IL,2017,$500M-$1B,https://www.ai-market-watch.com/company/ai21-labs
AIAV,Foundation Models / LLMs,JP,2022,$1M-$10M,https://www.ai-market-watch.com/company/aiav
Aibee,AI in Analytics & BI,CN,2017,$100M-$500M,https://www.ai-market-watch.com/company/aibee
AICA,AI in Supply Chain / Logistics,GB,2023,$1M-$10M,https://www.ai-market-watch.com/company/aica
AiderX,AI Infrastructure,KR,2023,$10M-$50M,https://www.ai-market-watch.com/company/aiderx
Aidoc,AI in Healthcare,US,2016,$100M-$500M,https://www.ai-market-watch.com/company/aidoc
Aidoptation,Robotics / Embodied AI,BE,2025,$10M-$50M,https://www.ai-market-watch.com/company/aidoptation
AIEEV,AI Infrastructure,KR,2024,$1M-$10M,https://www.ai-market-watch.com/company/aieev
AiGent,AI in Climate / Energy,US,2019,$1M-$10M,https://www.ai-market-watch.com/company/aigent
Aikido Security,AI in Cybersecurity,BE,2022,$50M-$100M,https://www.ai-market-watch.com/company/aikido-security
AILingGo,AI in Legal,KR,2020,Undisclosed,https://www.ai-market-watch.com/company/ailinggo
Aily Labs,AI in Analytics & BI,DE,2020,$100M-$500M,https://www.ai-market-watch.com/company/aily-labs
AIM Intelligence,AI in Cybersecurity,KR,2024,$1M-$10M,https://www.ai-market-watch.com/company/aim-intelligence
Aim Security,AI in Cybersecurity,IL,2022,$10M-$50M,https://www.ai-market-watch.com/company/aim-security
Ainnocence,AI in Healthcare,US,2021,$1M-$10M,https://www.ai-market-watch.com/company/ainnocence
"Ainnova Tech, Inc.",AI in Healthcare,US,2020,<$1M,https://www.ai-market-watch.com/company/ainnova-tech-inc
AInnovation,AI Agents,CN,2018,$100M-$500M,https://www.ai-market-watch.com/company/ainnovation
aiOla,Voice / Speech AI,US,2019,$50M-$100M,https://www.ai-market-watch.com/company/aiola
Aiosyn,AI in Healthcare,NL,2021,$1M-$10M,https://www.ai-market-watch.com/company/aiosyn
AIPARK,Generative Media (Image / Video),KR,2020,$100M-$500M,https://www.ai-market-watch.com/company/aipark
Aippy,AI in Media / Gaming / Entertainment,US,2025,$10M-$50M,https://www.ai-market-watch.com/company/aippy
Airbound,Robotics / Embodied AI,IN,2020,$10M-$50M,https://www.ai-market-watch.com/company/airbound
Aires,AI in Cybersecurity,SG,2021,Undisclosed,https://www.ai-market-watch.com/company/aires
AIResQ ClimSols,AI in Climate / Energy,IN,2024,Undisclosed,https://www.ai-market-watch.com/company/airesq-climsols
Airia,AI Infrastructure,US,2024,$100M-$500M,https://www.ai-market-watch.com/company/airia
Airial,,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/airial
Airis Labs,AI in Defense / Aerospace,US,2023,$50M-$100M,https://www.ai-market-watch.com/company/airis-labs
AirMDR,AI in Cybersecurity,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/airmdr
Airoclip,AI in Media / Gaming / Entertainment,IN,2024,$1M-$10M,https://www.ai-market-watch.com/company/airoclip
AirOps,AI in Marketing,US,2021,$50M-$100M,https://www.ai-market-watch.com/company/airops
Airpost,AI in Marketing,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/airpost
Airrived,AI Agents,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/airrived
Airtable,AI Agents,US,2012,$1B+,https://www.ai-market-watch.com/company/airtable
AirTrunk,AI Infrastructure,AU,2015,$1B+,https://www.ai-market-watch.com/company/airtrunk
Airwallex,AI in Fintech,AU,2015,$1B+,https://www.ai-market-watch.com/company/airwallex
AIsa,AI Infrastructure,US,2025,$1M-$10M,https://www.ai-market-watch.com/company/aisa
Aisera,AI Agents,US,2017,$100M-$500M,https://www.ai-market-watch.com/company/aisera
AIsphere,Generative Media (Image / Video),CN,2023,$100M-$500M,https://www.ai-market-watch.com/company/aisphere
AiSprouts,,US,2019,Undisclosed,https://www.ai-market-watch.com/company/aisprouts
AiStrike,AI in Cybersecurity,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/aistrike
AITRICS,AI in Healthcare,KR,2016,$50M-$100M,https://www.ai-market-watch.com/company/aitrics
Aivar,AI Agents,IN,2024,$1M-$10M,https://www.ai-market-watch.com/company/aivar
Aive,Generative Media (Image / Video),FR,2019,$10M-$50M,https://www.ai-market-watch.com/company/aive
AIVID TechVision,Computer Vision,IN,2020,Undisclosed,https://www.ai-market-watch.com/company/aivid-techvision
AIwithCare,AI in Healthcare,US,2025,Undisclosed,https://www.ai-market-watch.com/company/aiwithcare
AIxBlock,AI Infrastructure,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/aixblock
aizy,AI in Marketing,NL,2024,$1M-$10M,https://www.ai-market-watch.com/company/aizy
Ajras,AI in Fintech,SA,2022,$10M-$50M,https://www.ai-market-watch.com/company/ajras
AKA Foods,AI in Agriculture,NL,2021,$10M-$50M,https://www.ai-market-watch.com/company/aka-foods
Akai Space,AI Infrastructure,IN,2024,Undisclosed,https://www.ai-market-watch.com/company/akai-space
Akari,Robotics / Embodied AI,JP,2021,$10M-$50M,https://www.ai-market-watch.com/company/akari
AKEDO,AI in Media / Gaming / Entertainment,HK,2023,$1M-$10M,https://www.ai-market-watch.com/company/akedo
Akooda,AI Infrastructure,IL,2021,$10M-$50M,https://www.ai-market-watch.com/company/akooda
AKOOL,Generative Media (Image / Video),US,2022,$10M-$50M,https://www.ai-market-watch.com/company/akool
Akto,AI in Cybersecurity,US,2022,$1M-$10M,https://www.ai-market-watch.com/company/akto
Akuvo,AI in Fintech,US,2022,$10M-$50M,https://www.ai-market-watch.com/company/akuvo
Alaan,AI in Fintech,AE,2021,$50M-$100M,https://www.ai-market-watch.com/company/alaan
Alaffia Health,AI in Healthcare,US,2020,$50M-$100M,https://www.ai-market-watch.com/company/alaffia-health
Alan,AI in Healthcare,FR,2016,$500M-$1B,https://www.ai-market-watch.com/company/alan
Albatross AI,AI Search / Retrieval,CH,2024,$10M-$50M,https://www.ai-market-watch.com/company/albatross-ai
Alcatraz,AI in Cybersecurity,US,2016,$100M-$500M,https://www.ai-market-watch.com/company/alcatraz
Alchemy,AI Infrastructure,US,2017,$500M-$1B,https://www.ai-market-watch.com/company/alchemy
"Alembic Technologies, Inc.",AI in Marketing,US,2018,$100M-$500M,https://www.ai-market-watch.com/company/alembic-technologies-inc
Aleph,AI in Fintech,US,2020,$10M-$50M,https://www.ai-market-watch.com/company/aleph
Alert Logic,AI in Cybersecurity,US,2002,$100M-$500M,https://www.ai-market-watch.com/company/alert-logic
AlertD,AI Agents,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/alertd
Alethea AI,AI Agents,SG,2019,$10M-$50M,https://www.ai-market-watch.com/company/alethea-ai
Alex,AI in HR & Talent,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/alex
Alexi,AI in Legal,CA,2017,$10M-$50M,https://www.ai-market-watch.com/company/alexi
Alfa,AI in HR & Talent,GB,2022,<$1M,https://www.ai-market-watch.com/company/alfa
Alfred,AI in Fintech,US,2020,$10M-$50M,https://www.ai-market-watch.com/company/alfred
ALGO ARTIS,AI in Supply Chain / Logistics,JP,2021,$10M-$50M,https://www.ai-market-watch.com/company/algo-artis
AlgoDriven,AI in Analytics & BI,AE,2017,$1M-$10M,https://www.ai-market-watch.com/company/algodriven
Algorized,Robotics / Embodied AI,CH,2022,$10M-$50M,https://www.ai-market-watch.com/company/algorized
Alibaba Group,Foundation Models / LLMs,CN,1999,$1B+,https://www.ai-market-watch.com/company/alibaba-group
Alice,AI in Legal,BE,2025,$1M-$10M,https://www.ai-market-watch.com/company/alice
Alice & Bob,AI in Hardware / Semiconductors,FR,2020,$100M-$500M,https://www.ai-market-watch.com/company/alice-bob
Alice.Tech,AI in Education,DK,2024,$1M-$10M,https://www.ai-market-watch.com/company/alice-tech
Aligned Data Centers,AI Infrastructure,US,2013,$1B+,https://www.ai-market-watch.com/company/aligned-data-centers
ALIGNMT AI,AI in Healthcare,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/alignmt-ai
Alix,AI in Fintech,US,2022,$10M-$50M,https://www.ai-market-watch.com/company/alix
Alkymi,AI in Fintech,US,2017,$10M-$50M,https://www.ai-market-watch.com/company/alkymi
All Gravy,AI in Fintech,DK,2020,$1M-$10M,https://www.ai-market-watch.com/company/all-gravy
All3,Robotics / Embodied AI,DE,2023,$50M-$100M,https://www.ai-market-watch.com/company/all3
Allasso,AI in Fintech,CH,2022,$1M-$10M,https://www.ai-market-watch.com/company/allasso
Allbigdat,Natural Language Processing,KR,2018,$1M-$10M,https://www.ai-market-watch.com/company/allbigdat
Allen Institute for AI (AI2),Foundation Models / LLMs,US,2014,$100M-$500M,https://www.ai-market-watch.com/company/allen-institute-for-ai-ai2
Allganize,AI Infrastructure,KR,2017,$10M-$50M,https://www.ai-market-watch.com/company/allganize
AllGPT,Foundation Models / LLMs,US,2025,Undisclosed,https://www.ai-market-watch.com/company/allgpt
allO,AI in Retail / E-commerce,DE,2020,$10M-$50M,https://www.ai-market-watch.com/company/allo
Allo Health,AI in Healthcare,IN,2021,$1M-$10M,https://www.ai-market-watch.com/company/allo-health
AllSpice.io,AI Developer Tools,US,2018,$10M-$50M,https://www.ai-market-watch.com/company/allspice-io
Alltius,AI Agents,US,2022,$1M-$10M,https://www.ai-market-watch.com/company/alltius
Allure Security,AI in Cybersecurity,US,2009,$10M-$50M,https://www.ai-market-watch.com/company/allure-security
Alma,AI in Healthcare,US,2024,Undisclosed,https://www.ai-market-watch.com/company/alma
Almure,AI Infrastructure,JP,2026,$1M-$10M,https://www.ai-market-watch.com/company/almure
AlphaSense,AI in Analytics & BI,US,2011,$1B+,https://www.ai-market-watch.com/company/alphasense
AlphaXiv,AI Infrastructure,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/alphaxiv
Alpic,AI Infrastructure,FR,2025,$1M-$10M,https://www.ai-market-watch.com/company/alpic
Alset AI Ventures Inc.,Venture Capital,CA,1999,Undisclosed,https://www.ai-market-watch.com/company/alset-ai-ventures-inc
Alt Inc.,AI Agents,JP,2014,$50M-$100M,https://www.ai-market-watch.com/company/alt-inc
Altan,AI Agents,ES,2024,$1M-$10M,https://www.ai-market-watch.com/company/altan
Alteia,AI in Climate / Energy,FR,2018,$50M-$100M,https://www.ai-market-watch.com/company/alteia
Altek AI,AI Agents,NO,2024,<$1M,https://www.ai-market-watch.com/company/altek-ai
Altilia,AI Agents,IT,2010,$1M-$10M,https://www.ai-market-watch.com/company/altilia
altshare,AI in Fintech,IL,2006,Undisclosed,https://www.ai-market-watch.com/company/altshare
Alvys,AI in Supply Chain / Logistics,US,2020,$50M-$100M,https://www.ai-market-watch.com/company/alvys
Amagi,AI in Media / Gaming / Entertainment,IN,2008,$100M-$500M,https://www.ai-market-watch.com/company/amagi
Amari AI,AI in Supply Chain / Logistics,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/amari-ai
Amaro,AI in Healthcare,US,2022,$1M-$10M,https://www.ai-market-watch.com/company/amaro
Amata,Foundation Models / LLMs,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/amata
Amazon Web Services (AWS),AI Infrastructure,US,2006,Undisclosed,https://www.ai-market-watch.com/company/amazon-web-services-aws
Ambak,AI in Fintech,IN,2023,$10M-$50M,https://www.ai-market-watch.com/company/ambak
Ambassador Software,AI in Marketing,US,2010,$10M-$50M,https://www.ai-market-watch.com/company/ambassador-software
Ambience Healthcare,AI in Healthcare,US,2020,$100M-$500M,https://www.ai-market-watch.com/company/ambience-healthcare
AMBIR (Ambir Technology Inc.),AI in Healthcare,US,2001,<$1M,https://www.ai-market-watch.com/company/ambir-ambir-technology-inc
Amenitiz,AI Agents,ES,2017,$50M-$100M,https://www.ai-market-watch.com/company/amenitiz
AMI Labs,Foundation Models / LLMs,FR,2025,$1B+,https://www.ai-market-watch.com/company/ami-labs
Amigo AI,AI in Healthcare,US,2023,$10M-$50M,https://www.ai-market-watch.com/company/amigo-ai
Amity,AI Agents,TH,2012,$100M-$500M,https://www.ai-market-watch.com/company/amity
Ammobia,AI in Climate / Energy,US,2022,$1M-$10M,https://www.ai-market-watch.com/company/ammobia
Amously,AI Agents,KR,2024,<$1M,https://www.ai-market-watch.com/company/amously
Amperesand,AI in Climate / Energy,SG,2023,$50M-$100M,https://www.ai-market-watch.com/company/amperesand
AmplifAI,AI in Marketing,US,2014,$50M-$100M,https://www.ai-market-watch.com/company/amplifai
"Anaconda, Inc.",AI Developer Tools,US,2012,$100M-$500M,https://www.ai-market-watch.com/company/anaconda-inc
